0 2024-12-20 16:32:56
114 2024-12-20 16:55:22 14.0
115 2024-12-20 16:55:34 12.0
116 2024-12-20 16:55:46 12.0
117 2024-12-20 16:55:58 12.0
118 2024-12-20 16:56:10 12.0
119 2024-12-20 16:56:22 12.0
120 2024-12-20 16:56:33 11.0
121 2024-12-20 16:56:46 13.0
122 2024-12-20 16:56:58 12.0
123 2024-12-20 16:57:10 12.0
124 2024-12-20 16:57:22 12.0
125 2024-12-20 16:57:35 13.0
126 2024-12-20 16:57:47 12.0
127 2024-12-20 16:58:00 13.0
128 2024-12-20 16:58:11 11.0
129 2024-12-20 16:58:23 12.0
130 2024-12-20 16:58:34 11.0
131 2024-12-20 16:58:46 12.0
132 2024-12-20 16:58:58 12.0
133 2024-12-20 16:59:09 11.0
134 2024-12-20 16:59:20 11.0
135 2024-12-20 16:59:30 10.0
136 2024-12-20 16:59:45 15.0
137 2024-12-20 16:59:58 13.0
138 2024-12-20 17:00:11 13.0
139 2024-12-20 17:00:22 11.0
140 2024-12-20 17:00:33 11.0
141 2024-12-20 17:00:44 11.0
142 2024-12-20 17:00:57 13.0
143 2024-12-20 17:01:08 11.0
144 2024-12-20 17:01:20 12.0
145 2024-12-20 17:01:31 11.0
146 2024-12-20 17:01:42 11.0
147 2024-12-20 17:01:54 12.0
148 2024-12-20 17:02:05 11.0
149 2024-12-20 17:02:17 12.0
150 2024-12-20 17:02:30 13.0
151 2024-12-20 17:02:42 12.0
152 2024-12-20 17:02:53 11.0
